zcta,population,poverty,poverty_under18,poverty_18to65,poverty_over65,education,work_experience,working_fulltime,working_fulltime_poverty
45831,3331,166,23,126,17,2192,2634,135,0
45832,3040,196,59,93,44,2027,2322,211,7
45833,10350,956,261,578,117,7113,8411,424,0
45835,348,7,0,0,7,302,302,10,0
45836,1553,327,177,137,13,1018,1195,50,0
45838,28,13,10,3,0,16,19,0,0
45840,52977,8527,2486,5644,397,36061,42637,4131,325
45841,781,5,0,3,2,513,592,40,0
45843,3997,489,139,331,19,2756,3134,207,4
45844,3228,191,14,140,37,2206,2566,155,26
45845,2783,102,35,43,24,1743,2096,156,3
45846,4236,87,34,23,30,2488,2957,123,0
45849,1266,173,94,67,12,818,968,37,1
45850,3806,601,267,316,18,2443,2953,127,0
45851,585,49,12,32,5,379,446,8,0
45853,1182,0,0,0,0,837,969,20,0
45854,463,41,10,26,5,358,402,57,0
45855,183,33,7,23,3,131,148,16,0
45856,5036,576,216,315,45,3422,3896,348,50
45858,3409,390,224,159,7,2124,2518,182,4
45859,446,109,36,68,5,294,354,27,0
45860,2044,19,0,19,0,1151,1433,109,11
45861,156,78,26,48,4,99,132,17,0
45862,1583,183,72,106,5,1073,1249,116,0
45863,1000,73,25,40,8,680,757,30,0
45864,131,10,0,9,1,96,117,16,0
45865,4852,410,163,219,28,3303,3768,240,5
45866,231,28,2,24,2,187,206,14,0
45867,1067,183,122,61,0,638,738,99,9
45868,535,36,17,19,0,335,381,29,0
45869,4488,306,113,159,34,2953,3407,244,0
45870,92,0,0,0,0,58,63,0,0
45871,1830,172,40,124,8,1276,1450,96,0
45872,4272,392,158,213,21,2814,3353,371,16
45873,2049,338,80,235,23,1423,1604,53,4
45874,2038,229,80,95,54,1459,1580,59,0
45875,11053,552,113,356,83,7324,8295,566,2
45876,802,18,3,15,0,518,596,57,0
45877,2114,278,142,117,19,1386,1573,103,16
45879,6372,899,357,483,59,4000,4852,144,1
45880,2251,258,68,152,38,1605,1805,156,9
45881,1749,218,89,129,0,1177,1345,42,0
45882,2668,278,85,166,27,1801,2112,133,3
45883,3871,194,29,133,32,2434,2824,152,2
45884,159,0,0,0,0,119,119,0,0
45885,12561,1491,557,777,157,8607,9801,738,34
45886,801,81,12,57,12,456,506,16,0
45887,4492,467,173,233,61,3084,3584,102,9
45888,197,13,6,7,0,157,164,64,0
45889,1290,22,0,18,4,856,974,40,0
45890,850,29,9,18,2,519,643,45,0
45891,14746,2348,926,1247,175,10183,11725,800,36
45894,639,77,33,38,6,386,468,19,0
45895,18054,1331,449,771,111,11910,14021,1125,23
45896,2235,283,116,147,20,1481,1700,100,0
45897,155,79,53,26,0,102,102,0,0
45898,1326,135,70,63,2,907,1052,70,0
45899,310,33,0,30,3,224,246,24,0
46001,10257,1514,522,886,106,7334,8352,596,30
46011,16116,2181,960,1060,161,11450,12937,813,32
46012,18436,2260,672,1394,194,13172,15206,1190,57
46013,18102,3282,1105,1954,223,12609,14559,1298,11
46016,18235,7472,2700,4443,329,11353,13659,1142,71
46017,5519,483,132,320,31,4108,4720,360,16
46030,3020,404,160,230,14,2124,2411,155,7
46031,2417,158,22,117,19,1483,1838,111,9
46032,42025,1901,544,1235,122,28074,32043,3317,45
46033,35626,656,175,408,73,22763,26239,1199,0
46034,7179,603,175,353,75,4875,5603,495,0
46035,1161,140,72,58,10,804,928,107,0
46036,11499,1816,667,940,209,7827,9075,505,0
46037,36836,1454,707,734,13,22579,25527,2706,0
46038,38625,1325,397,825,103,25096,28893,3366,11
46039,843,50,15,35,0,542,650,14,0
46040,10716,1222,414,774,34,7030,8041,296,10
46041,23127,3510,1462,1878,170,14827,17530,1297,64
46044,2697,213,89,106,18,1804,2118,228,0
46045,243,0,0,0,0,123,154,0,0
46047,117,117,72,45,0,22,45,0,0
46048,2110,218,87,103,28,1312,1465,229,0
46049,882,20,0,5,15,650,722,63,0
46050,1902,304,169,129,6,1280,1431,129,0
46051,3128,385,104,260,21,2204,2412,203,18
46052,21453,2618,764,1742,112,14533,16873,1496,119
46055,9687,560,118,442,0,6300,7293,818,67
46056,2071,437,160,248,29,1418,1585,110,25
46057,925,12,2,10,0,603,714,24,0
46058,1856,214,46,123,45,1316,1483,91,0
46060,34620,3652,1633,1875,144,22162,25557,2718,11
46062,30866,1040,354,612,74,20026,22988,2395,20
46063,489,129,42,86,1,326,379,21,1
46064,12942,978,238,673,67,8606,10025,716,43
46065,3452,314,167,136,11,2205,2648,114,4
46068,2358,76,7,58,11,1881,2010,145,21
46069,6994,927,364,504,59,4641,5344,341,0
46070,2121,156,25,88,43,1482,1676,102,0
46071,3794,177,37,95,45,2569,3057,105,0
46072,9406,1085,523,495,67,6378,7442,451,0
46074,28761,1885,986,899,0,17131,19505,1731,18
46075,3246,438,210,182,46,2085,2338,254,10
46076,1719,151,26,102,23,1256,1359,99,0
46077,25163,402,84,284,34,15938,17998,1132,8
46103,223,7,4,1,2,146,172,5,0
46104,865,88,51,37,0,599,708,78,0
46105,2173,94,32,60,2,1289,1599,97,0
46106,6051,516,183,309,24,4090,4431,407,0
