"storm","city","city_radius","wind_mph","wind_kmph","label","cityimpactday","year","norm_count_total","impact_count_total","change_count_percent","norm_displacement_total_km","impact_displacement_total_km","change_displacement_total_km","change_displacement_total_degree","change_displacement_total_degree_abs","change_displacement_percent","change_displacement_percent_abs","change_step_displacement_percent","change_step_displacement_percent_abs","step_type","norm_step_count","norm_step_avg_km","norm_step_displacement_km","impact_step_count","impact_step_avg_km","change_step_avg_km","change_step_avg_km_abs","norm_step_avg_degrees","impact_step_avg_degrees","change_step_avg_degrees","change_step_avg_degrees_abs","impact_step_displacement_km","change_displacement_km","change_displacement_km_abs","change_displacement_degrees","change_displacement_degrees_abs","norm_step_count_percent","impact_step_count_percent","change_step_count_percent","change_step_count_percent_abs","norm_step_distance_proportionality","impact_step_distance_proportionality","change_step_distance_proportionality","change_step_distance_proportionality_abs"
"Irma","Tampa","40","70","112.65","70 - Irma - Tampa","2017-09-11","2017","330.80000000000000000000","362","9.4317","5610.1317","5538.7900","-71.341700","-0.644929","0.6449","-1.2717","1.2717","-27.2520","27.2520",4,"54","1.4869","401.4696","40","7.3015","-5.814600","5.814600","0.013442","0.066006","-0.052564","0.052564","292.0610","-109.4086","109.408600","-0.989100","0.989100","0.16324063","0.11049724","0.05274339","0.05274339","0.07156153","0.05273011","0.01883142","0.01883142"
"Irma","Tampa","40","70","112.65","70 - Irma - Tampa","2017-09-11","2017","330.80000000000000000000","362","9.4317","5610.1317","5538.7900","-71.341700","-0.644929","0.6449","-1.2717","1.2717","4.7215","4.7215",5,"202","4.7945","4837.6969","234","21.6501","-16.855600","16.855600","0.043342","0.195717","-0.152375","0.152375","5066.1100","228.4131","228.413100","2.064900","2.064900","0.61064087","0.64640884","-0.03576797","0.03576797","0.86231432","0.91466006","-0.05234574","0.05234574"
"Maria","San Juan","20","70","112.65","70 - Maria - San Juan","2017-09-20","2017","78.40000000000000000000","75","-4.3367","549.5359","456.9350","-92.600900","-0.837112","0.8371","-16.8507","16.8507","159.7620","159.7620",1,"6","0.0273","0.7647","12","0.1655","-0.138200","0.138200","0.000247","0.001496","-0.001249","0.001249","1.9864","1.2217","1.221700","0.011000","0.011000","0.07653061","0.16000000","-0.08346939","0.08346939","0.00139154","0.00434723","-0.00295569","0.00295569"
"Maria","San Juan","20","70","112.65","70 - Maria - San Juan","2017-09-20","2017","78.40000000000000000000","75","-4.3367","549.5359","456.9350","-92.600900","-0.837112","0.8371","-16.8507","16.8507","5.1157","5.1157",2,"7","0.1296","4.4080","8","0.5792","-0.449600","0.449600","0.001172","0.005236","-0.004064","0.004064","4.6335","0.2255","0.225500","0.002000","0.002000","0.08928571","0.10666667","-0.01738095","0.01738095","0.00802131","0.01014039","-0.00211908","0.00211908"
"Maria","San Juan","20","70","112.65","70 - Maria - San Juan","2017-09-20","2017","78.40000000000000000000","75","-4.3367","549.5359","456.9350","-92.600900","-0.837112","0.8371","-16.8507","16.8507","-41.6390","41.6390",3,"20","0.6539","66.0429","17","2.2673","-1.613400","1.613400","0.005911","0.020496","-0.014585","0.014585","38.5433","-27.4996","27.499600","-0.248600","0.248600","0.25510204","0.22666667","0.02843537","0.02843537","0.12017941","0.08435182","0.03582759","0.03582759"
"Maria","San Juan","20","70","112.65","70 - Maria - San Juan","2017-09-20","2017","78.40000000000000000000","75","-4.3367","549.5359","456.9350","-92.600900","-0.837112","0.8371","-16.8507","16.8507","-41.9434","41.9434",4,"28","1.4373","202.6661","17","6.9212","-5.483900","5.483900","0.012993","0.062568","-0.049574","0.049574","117.6610","-85.0051","85.005100","-0.768400","0.768400","0.35714286","0.22666667","0.13047619","0.13047619","0.36879501","0.25750052","0.11129449","0.11129449"
"Maria","San Juan","20","70","112.65","70 - Maria - San Juan","2017-09-20","2017","78.40000000000000000000","75","-4.3367","549.5359","456.9350","-92.600900","-0.837112","0.8371","-16.8507","16.8507","6.6957","6.6957",5,"18","3.1324","275.6541","21","14.0053","-10.872900","10.872900","0.028317","0.126608","-0.098291","0.098291","294.1110","18.4569","18.456900","0.166900","0.166900","0.22959184","0.28000000","-0.05040816","0.05040816","0.50161254","0.64366048","-0.14204793","0.14204793"
"Kalmaegi","Calasiao","50","85","136.79","85 - Kalmaegi - Calasiao","2014-09-14","2014","451.40000000000000000000","255","-43.5091","1226.7397","718.3690","-508.370700","-4.595671","4.5957","-41.4408","41.4408","-48.8528","48.8528",1,"189","0.0285","26.9137","92","0.1496","-0.121100","0.121100","0.000258","0.001352","-0.001095","0.001095","13.7656","-13.1481","13.148100","-0.118900","0.118900","0.41869739","0.36078431","0.05791307","0.05791307","0.02193921","0.01916230","0.00277691","0.00277691"
"Kalmaegi","Calasiao","50","85","136.79","85 - Kalmaegi - Calasiao","2014-09-14","2014","451.40000000000000000000","255","-43.5091","1226.7397","718.3690","-508.370700","-4.595671","4.5957","-41.4408","41.4408","-29.1692","29.1692",2,"93","0.1356","62.9009","69","0.6457","-0.510100","0.510100","0.001226","0.005837","-0.004611","0.004611","44.5532","-18.3477","18.347700","-0.165900","0.165900","0.20602570","0.27058824","-0.06456254","0.06456254","0.05127485","0.06201994","-0.01074508","0.01074508"
"Kalmaegi","Calasiao","50","85","136.79","85 - Kalmaegi - Calasiao","2014-09-14","2014","451.40000000000000000000","255","-43.5091","1226.7397","718.3690","-508.370700","-4.595671","4.5957","-41.4408","41.4408","-36.1603","36.1603",3,"107","0.4249","227.7392","71","2.0477","-1.622800","1.622800","0.003841","0.018511","-0.014670","0.014670","145.3880","-82.3512","82.351200","-0.744500","0.744500","0.23704032","0.27843137","-0.04139105","0.04139105","0.18564590","0.20238624","-0.01674034","0.01674034"
