	id	state	COUNTY	GEO_TTL	relevant_naics	NAICS2012_TTL	NAICS_Sector	estab	emp	payann	estimate
447	13009	13	9	Baldwin County, Georgia	7224	Drinking places (alcoholic beverages)	72	2.2	0.0	25.2	
448	13009	13	9	Baldwin County, Georgia	7225	Restaurants and other eating places	72	71.8	1495.6	16927.4	
449	13009	13	9	Baldwin County, Georgia	8111	Automotive repair and maintenance	81	18.4	93.4	2798.2	
450	13009	13	9	Baldwin County, Georgia	8112	Electronic and precision equipment repair and maintenance	81	2.4	3.4	79.4	
452	13009	13	9	Baldwin County, Georgia	8121	Personal care services	81	10.8	37.8	459.2	
453	13009	13	9	Baldwin County, Georgia	8122	Death care services	81	4.0	53.6	1123.2	
454	13009	13	9	Baldwin County, Georgia	8123	Drycleaning and laundry services	81	6.4	33.4	719.8	
456	13009	13	9	Baldwin County, Georgia	8131	Religious organizations	81	27.4	157.8	2648.2	
457	13009	13	9	Baldwin County, Georgia	8133	Social advocacy organizations	81	3.8	10.6	281.0	
458	13009	13	9	Baldwin County, Georgia	8134	Civic and social organizations	81	4.0	11.0	397.0	
459	13009	13	9	Baldwin County, Georgia	8139	Business, professional, labor, political, and similar organizations	81	3.0	6.2	172.4	
460	13011	13	11	Banks County, Georgia	1133	Logging	11	4.8	21.2	918.0	
471	13011	13	11	Banks County, Georgia	2381	Foundation, structure, and building exterior contractors	23	6.0	15.6	821.4	
472	13011	13	11	Banks County, Georgia	2382	Building equipment contractors	23	10.2	21.8	1168.2	
473	13011	13	11	Banks County, Georgia	2383	Building finishing contractors	23	3.4	2.2	129.0	
474	13011	13	11	Banks County, Georgia	2389	Other specialty trade contractors	23	4.4	33.8	1050.6	
480	13011	13	11	Banks County, Georgia	3327	Machine shops; turned product; and screw, nut, and bolt manufacturing	33	4.2	28.2	1128.8	
486	13011	13	11	Banks County, Georgia	4238	Machinery, equipment, and supplies merchant wholesalers	42	3.0	21.0	640.0	
487	13011	13	11	Banks County, Georgia	4239	Miscellaneous durable goods merchant wholesalers	42	2.6	0.0	128.8	
490	13011	13	11	Banks County, Georgia	4249	Miscellaneous nondurable goods merchant wholesalers	42	3.0	12.8	818.8	
492	13011	13	11	Banks County, Georgia	4411	Automobile dealers	44	2.8	0.8	177.4	
495	13011	13	11	Banks County, Georgia	4422	Home furnishings stores	44	3.2	6.4	145.2	
496	13011	13	11	Banks County, Georgia	4431	Electronics and appliance stores	44	4.8	7.6	148.4	
497	13011	13	11	Banks County, Georgia	4441	Building material and supplies dealers	44	4.8	62.4	1341.8	
498	13011	13	11	Banks County, Georgia	4451	Grocery stores	44	2.2	4.0	48.2	
499	13011	13	11	Banks County, Georgia	4461	Health and personal care stores	44	4.8	22.2	700.2	
500	13011	13	11	Banks County, Georgia	4471	Gasoline stations	44	10.8	119.8	2783.0	
501	13011	13	11	Banks County, Georgia	4481	Clothing stores	44	3.0	23.2	289.8	
