zcta,JobsTotal,JobsAgriculture,JobsEntertainment,JobsConstruction,JobsHealthcare,JobsManufacturing,JobsProfessional,JobsRealestate,JobsTrade,JobsTransport,Population,Poverty,Poverty_Under18,Poverty_18to65,Poverty_Over65,Education,Work_Experience,Working_Fulltime,Working_Fulltime_Poverty,y
26034,94,0,7,6,6,5,16,0,2,3,4971,123,30,81,11,728,801,33,0,0
26035,21,0,0,3,0,0,2,0,2,4,2917,123,81,37,4,709,775,66,0,0
26036,4,0,0,1,0,0,0,0,0,0,601,0,0,0,0,772,810,74,0,0
26037,107,0,3,6,16,3,17,2,1,3,6301,119,24,74,20,756,845,83,0,0
26038,53,0,1,10,18,1,4,1,2,0,3000,143,52,79,12,762,827,54,0,0
26039,3,0,0,0,0,0,0,0,1,0,876,63,7,55,0,753,841,30,14,0
26040,28,0,0,1,8,2,1,0,2,1,1835,159,58,82,17,729,840,70,13,1
26041,304,0,18,17,41,5,41,6,6,5,14979,162,34,117,10,728,840,66,5,1
26047,50,0,5,3,3,3,3,2,1,2,6494,214,68,137,8,715,822,55,2,1
26050,36,0,6,2,1,6,1,0,3,3,1316,121,44,53,23,736,828,98,0,0
26055,19,0,1,2,0,2,2,0,3,2,1982,161,21,115,25,747,849,50,11,0
26056,6,0,0,0,0,0,1,0,0,0,195,0,0,0,0,882,892,123,0,0
26059,129,0,6,9,4,3,12,5,6,3,2563,139,37,87,14,733,837,85,0,0
26060,20,0,2,2,0,1,0,0,2,1,1794,56,3,42,10,721,855,86,0,0
26062,492,0,32,24,90,18,68,20,15,11,20724,162,61,88,12,746,836,77,1,0
26070,151,0,8,16,20,5,23,0,2,2,7734,143,41,85,16,752,859,58,1,1
26074,10,0,0,0,0,0,1,0,0,0,446,334,85,248,0,612,865,172,15,0
26075,2,0,0,0,1,0,0,0,0,0,538,111,22,81,7,708,843,50,0,1
26101,1110,0,48,44,169,22,149,45,51,23,29559,238,80,143,15,685,797,66,5,0
26104,277,0,7,25,42,12,45,17,13,5,16842,144,42,90,11,743,833,82,3,1
26105,341,0,16,13,49,5,43,11,4,3,12061,118,44,58,15,727,820,73,2,0
26133,4,0,0,2,0,0,1,0,0,0,1246,142,11,125,5,833,890,20,0,0
26134,21,0,0,0,3,4,1,1,1,6,1011,333,127,195,9,648,769,39,0,0
26136,8,0,0,0,0,0,1,0,0,0,644,274,63,166,45,675,852,21,0,0
26137,6,1,0,1,0,0,0,0,0,1,785,285,77,185,21,793,892,0,0,1
26141,7,0,0,1,0,1,1,0,0,1,154,292,155,136,0,811,870,0,0,0
26142,16,0,0,4,0,0,1,0,5,1,2684,255,68,173,13,629,802,73,40,0
26143,40,1,2,2,4,3,6,0,0,0,4683,208,67,128,13,757,829,51,2,0
26146,13,0,0,1,0,3,2,0,0,4,1013,93,0,70,22,672,725,124,12,0
26147,62,0,2,1,8,5,5,1,0,1,2270,259,79,147,33,744,811,61,0,0
26148,3,0,0,1,0,0,0,0,0,0,199,60,0,60,0,834,899,0,0,0
26149,32,0,1,4,4,0,5,0,0,1,2543,185,49,111,24,756,829,44,0,0
26150,107,0,3,16,4,3,8,5,8,6,5861,145,37,81,26,703,783,50,0,0
26151,7,0,2,1,0,0,1,1,0,0,464,183,34,116,32,721,844,30,0,1
26152,2,0,0,1,0,0,0,0,0,0,56,0,0,0,0,750,1000,0,0,0
26155,250,1,7,10,43,6,34,10,6,4,8428,159,51,88,19,706,823,39,1,0
26159,31,0,0,4,3,2,4,0,1,0,2583,212,63,127,21,738,816,47,2,0
26160,6,0,0,1,0,0,1,0,1,0,1077,71,13,51,6,696,875,262,26,0
26161,2,0,0,1,0,0,0,0,0,0,239,0,0,0,0,949,1000,33,0,0
26164,144,0,8,8,17,9,17,5,7,3,7836,183,68,88,26,691,796,51,0,0
26167,4,0,0,0,1,1,0,0,0,0,1105,125,6,53,66,777,876,43,26,0
26169,5,0,0,1,0,0,1,0,0,1,848,332,196,135,0,674,734,21,0,0
26170,107,0,5,4,13,4,17,1,2,2,5174,147,45,95,6,726,824,39,0,0
26175,51,0,2,4,6,2,5,1,0,0,3562,169,56,102,10,677,834,40,5,1
26178,10,0,0,1,0,1,0,0,0,2,547,85,0,71,14,784,839,43,0,0
26180,15,1,0,4,1,1,0,0,1,0,1952,119,0,109,10,703,817,49,0,0
26181,54,0,1,12,2,4,3,1,2,4,6014,69,9,48,11,775,858,57,2,0
26184,20,1,2,3,0,2,4,0,0,1,2028,179,54,99,25,777,829,19,0,0
26187,109,0,2,11,13,6,13,4,5,5,5814,66,12,35,18,729,837,45,0,0
26201,491,4,12,62,75,15,56,18,15,17,18803,205,73,116,16,705,810,61,5,0
26202,15,2,0,1,1,2,1,0,1,0,657,22,0,6,16,590,687,0,0,0
26203,5,1,0,0,0,2,0,0,0,2,199,396,140,256,0,693,693,226,0,1
26205,60,2,0,4,7,6,7,0,6,2,2993,316,117,155,43,724,799,33,0,1
26206,38,4,1,3,5,2,4,0,1,2,2731,291,76,188,25,706,821,27,0,0
26208,6,2,0,0,2,0,0,0,1,0,843,194,55,125,13,756,836,62,0,1
26209,20,0,0,2,1,0,0,3,0,0,128,0,0,0,0,1000,1000,820,0,0
26215,6,3,0,0,0,1,0,0,0,2,406,0,0,0,0,438,438,0,0,0
26217,5,2,0,0,0,0,0,0,0,0,349,91,0,40,51,785,1000,0,0,0
26218,21,1,1,6,0,1,1,0,0,2,2255,144,40,93,10,704,793,68,7,0
26222,17,5,0,2,0,2,2,0,0,2,285,35,0,0,35,845,929,0,0,0
26224,3,0,0,0,1,0,0,0,0,0,226,185,0,92,92,915,1000,0,0,0
26228,2,0,0,0,0,1,0,0,0,1,52,0,0,0,0,1000,1000,0,0,0
26230,1,0,0,1,0,0,0,0,0,0,174,109,0,109,0,867,867,0,0,1
26234,19,1,1,3,3,1,2,0,0,1,1625,133,14,85,33,691,817,51,0,1
26237,2,0,0,1,0,0,0,0,0,1,487,188,0,108,80,833,952,14,0,0
26238,5,0,0,0,0,1,0,0,0,0,876,151,75,61,14,732,848,87,0,0
26241,512,6,21,32,88,12,73,20,18,18,13826,155,39,106,9,731,830,68,1,0
26250,84,0,1,8,15,6,6,2,4,6,4744,170,50,101,18,697,789,26,0,0
26253,48,2,1,11,2,4,4,0,1,5,3227,161,48,75,37,659,748,69,0,0
26254,6,0,0,1,0,0,0,0,0,2,481,64,0,64,0,779,844,51,0,0
26257,9,1,0,1,2,0,0,0,0,5,723,201,96,84,20,739,871,13,0,1
26259,11,0,0,1,0,1,2,1,2,3,197,162,0,60,101,593,776,0,0,0
26260,78,0,9,4,1,3,5,10,0,2,1261,103,22,51,30,793,881,75,5,0
26261,39,2,1,2,5,3,3,1,0,3,2640,324,102,171,50,705,803,49,1,1
26263,6,0,0,2,0,0,0,0,0,0,217,0,0,0,0,571,870,161,0,0
26264,12,4,0,1,0,0,0,0,0,2,688,126,18,88,18,699,813,71,20,0
26266,6,2,0,0,0,0,0,0,0,3,114,0,0,0,0,684,684,0,0,0
26267,3,0,0,2,0,0,0,0,0,1,399,263,155,107,0,646,681,27,0,0
26268,1,0,0,0,0,0,0,0,0,1,74,608,189,418,0,675,810,297,0,0
26269,8,0,0,2,0,0,1,0,0,4,1043,137,36,76,23,724,794,73,0,0
26270,9,0,0,2,1,0,1,0,0,0,660,166,28,83,54,774,830,51,0,0
26271,3,0,0,1,0,2,0,0,0,0,329,94,0,63,30,860,927,21,6,1
26273,6,0,0,0,0,0,0,0,0,1,760,230,26,153,50,784,843,13,3,0
26275,3,0,0,0,1,0,0,0,0,0,719,190,68,102,19,675,801,48,0,0
26276,3,1,0,1,0,0,0,0,0,1,372,34,0,0,34,768,846,0,0,0
26278,2,0,0,1,0,0,0,0,0,1,864,24,0,10,13,537,652,0,0,0
26280,27,1,3,2,3,4,1,0,1,1,1893,207,28,142,36,698,804,41,2,0
26282,5,0,0,1,0,0,2,0,0,0,73,0,0,0,0,602,602,0,0,0
26283,18,2,0,6,1,1,1,0,0,2,1919,130,40,83,6,703,823,6,0,1
26285,4,0,0,1,0,1,0,0,1,0,358,273,53,184,36,891,946,27,0,0
26287,58,2,3,5,6,5,10,1,1,1,2923,198,50,106,41,748,838,37,0,1
26288,58,3,4,0,7,2,5,3,0,7,3843,242,46,174,22,759,849,28,4,1
26291,20,1,0,3,1,2,1,2,0,2,80,187,0,187,0,850,850,187,187,0
26292,28,0,1,4,2,3,3,0,0,0,707,104,31,42,31,783,838,53,0,0
26293,7,1,0,2,0,0,0,0,0,0,670,191,102,88,0,555,625,20,0,1
26294,5,0,0,0,0,0,0,1,0,0,928,167,22,121,22,802,923,22,0,0
26296,1,0,0,0,0,0,0,0,0,0,235,191,55,136,0,574,710,0,0,0
26301,797,0,31,48,101,26,121,21,43,21,29356,185,55,112,17,713,812,84,3,0
26320,4,0,0,0,1,0,1,0,0,0,801,258,93,139,24,761,830,73,0,0
26321,1,0,0,0,0,0,0,0,0,0,576,88,27,60,0,767,855,12,0,0
26323,16,0,1,2,3,2,0,0,3,2,619,226,92,124,9,676,772,38,0,1
26325,1,0,0,0,0,0,0,0,0,1,310,380,106,245,29,822,825,22,0,0
26327,1,0,0,0,0,0,0,0,0,0,143,685,419,265,0,300,447,0,0,0
26330,675,1,20,46,90,12,115,26,32,30,14210,88,34,44,9,716,806,64,1,0
26335,18,0,2,3,1,0,1,1,0,0,1163,215,54,136,24,774,841,58,13,0
26337,12,0,0,0,0,0,3,0,0,1,1147,122,23,95,2,672,794,81,0,1
26338,6,0,0,1,0,0,0,0,1,2,602,299,129,144,24,696,822,126,0,0
26339,1,0,0,0,0,0,0,0,0,0,222,162,0,162,0,1000,1000,0,0,0
26342,3,0,0,1,0,0,0,0,0,1,383,344,31,271,41,767,947,65,0,1
26343,3,1,0,0,0,1,0,0,0,1,308,629,129,308,191,811,870,0,0,0
26346,27,0,0,2,1,4,3,1,1,3,1101,93,39,33,20,684,837,30,5,0
26347,23,0,0,6,2,0,2,0,1,3,2130,190,88,84,17,733,800,40,0,0
26348,6,2,0,1,0,0,0,0,0,0,118,76,0,76,0,745,847,144,76,0
26349,2,0,0,1,0,0,0,0,0,0,167,0,0,0,0,1000,1000,0,0,0
26351,97,0,3,5,13,2,13,2,3,2,2974,329,50,257,21,682,877,86,7,0
26354,171,0,7,22,26,6,14,0,5,4,10434,188,57,107,23,714,808,38,0,0
26361,2,0,0,0,0,1,0,0,0,0,185,145,0,145,0,967,1000,0,0,0
26362,82,0,3,7,13,4,13,2,2,1,3287,176,50,114,11,683,796,57,3,0
26366,4,0,0,0,0,1,0,0,0,0,114,763,631,131,0,368,368,131,0,1
26369,3,0,0,0,0,0,0,0,1,0,686,141,0,65,75,747,879,45,0,1
26372,11,0,1,3,0,0,1,0,1,1,949,170,52,82,35,664,729,18,0,0
26374,7,0,0,1,0,0,1,1,0,0,1472,141,50,91,0,725,806,37,0,0
26376,7,3,0,0,1,0,0,0,0,2,444,135,69,65,0,720,882,0,0,0
26377,7,0,0,1,1,2,0,0,0,0,707,407,175,217,14,547,683,0,0,1
26378,96,1,3,16,7,6,3,5,5,7,4336,112,30,74,7,687,786,49,0,0
26384,5,0,0,0,0,0,1,0,0,0,876,315,180,103,30,601,768,0,0,0
26385,36,1,0,8,5,0,3,2,0,1,3623,178,50,114,13,777,865,41,0,0
26386,25,0,1,7,2,0,1,1,0,1,2477,196,60,119,16,687,803,22,0,0
26404,6,0,0,2,1,0,0,1,0,0,468,307,181,126,0,626,717,0,0,0
26405,9,1,0,3,0,0,0,2,0,1,1297,365,198,150,16,595,734,30,0,1
26408,41,0,4,11,2,1,2,2,2,2,2960,77,9,64,3,702,785,59,0,0
26410,11,0,1,1,2,0,1,0,0,2,1022,203,15,168,19,759,880,28,0,0
26411,2,0,0,2,0,0,0,0,0,0,772,72,0,63,9,812,935,47,0,0
26412,1,0,0,0,0,0,0,0,0,0,541,240,29,136,73,837,931,31,0,0
26415,60,0,1,7,4,4,5,0,5,4,3982,267,60,153,53,748,832,36,2,0
26416,137,3,6,9,15,2,18,4,1,10,7099,230,61,157,11,686,814,45,4,0
26419,17,0,0,4,0,0,1,1,0,3,1143,341,104,222,13,688,775,9,0,0
26421,3,0,0,0,1,0,1,0,0,0,215,246,37,181,27,730,837,60,0,0
26422,4,0,0,0,0,0,0,0,0,1,383,161,0,161,0,798,851,0,0,0
26425,10,1,1,1,1,0,1,1,0,0,1365,158,59,88,10,764,839,30,0,0
26426,104,1,3,14,13,0,12,2,2,10,7170,122,38,76,7,722,835,38,5,0
26430,7,1,0,0,0,2,0,0,0,0,430,153,37,62,53,618,739,4,0,1
26431,114,0,3,12,12,6,5,3,6,8,5822,249,69,148,31,743,830,59,5,1
26435,3,0,0,0,0,0,1,0,0,1,159,748,188,377,182,660,811,150,0,0
26436,3,0,0,0,1,0,0,0,1,0,147,0,0,0,0,693,829,238,0,0
26437,6,2,0,1,0,0,0,0,0,2,648,270,47,222,0,896,929,86,0,0
26440,9,0,0,2,1,1,0,0,0,1,1137,128,60,58,9,697,835,32,0,0
26443,1,0,0,0,1,0,0,0,0,0,177,203,0,118,84,779,779,67,39,0
26444,25,0,0,7,0,1,1,0,0,7,3916,109,22,82,5,738,850,28,0,0
26447,11,1,1,1,0,0,0,0,0,3,1226,163,23,88,51,776,868,31,5,0
26448,7,0,0,4,0,0,0,0,0,0,1541,354,181,164,9,597,731,35,0,1
26451,13,0,0,3,1,0,2,0,0,0,726,45,8,22,15,725,855,50,0,0
26452,244,2,9,16,27,7,24,4,8,13,8972,238,67,157,13,721,820,62,8,0
26456,58,0,4,5,9,1,5,1,1,4,3612,145,37,92,15,671,795,51,0,0
26501,467,0,18,38,28,17,61,22,11,16,19467,219,43,164,11,675,842,109,4,0
26505,1163,2,49,53,171,14,184,89,23,8,32288,380,26,347,5,535,901,132,8,0
26508,582,5,22,97,44,17,81,31,20,25,31812,117,19,89,7,644,809,98,6,0
26519,20,0,1,4,0,2,0,1,2,4,1760,142,22,106,13,757,892,31,19,0
26520,11,0,1,1,1,0,0,0,1,3,802,16,0,16,0,733,809,0,0,1
26521,14,1,0,1,4,0,1,0,0,0,269,171,96,74,0,676,832,63,0,0
26525,79,2,3,10,8,5,7,3,4,4,5004,140,38,80,22,720,818,99,22,0
26534,16,0,1,1,0,0,1,0,1,2,1599,135,22,103,8,701,834,105,0,0
26537,180,0,11,12,25,6,29,9,6,4,5467,158,53,98,6,701,809,63,0,0
26541,32,0,1,5,3,0,0,0,4,6,3021,24,11,13,0,735,853,61,0,1
26542,48,2,2,5,7,2,2,2,2,7,2499,127,30,89,6,707,831,74,3,1
26543,6,0,1,0,0,1,0,0,0,0,155,303,0,103,200,612,729,0,0,1
26547,40,0,1,4,7,2,3,0,0,5,2531,146,43,102,0,681,737,96,4,0
26554,1031,1,43,89,135,40,173,35,47,17,40531,165,52,100,12,698,825,77,4,0
26559,10,0,0,2,0,0,3,0,0,0,1227,146,49,79,17,718,782,49,0,0
26562,8,0,0,1,1,0,1,0,0,0,518,258,94,135,28,818,909,23,0,0
26563,1,0,0,1,0,0,0,0,0,0,284,299,0,172,126,788,968,42,0,1
26568,7,0,1,0,0,2,0,0,0,0,558,84,0,50,34,790,860,26,0,0
26570,29,0,1,8,0,0,1,1,1,0,3516,71,8,49,13,702,837,43,2,0
26571,26,0,2,3,4,0,3,0,0,0,2076,256,63,160,31,688,815,12,1,0
26574,4,1,0,0,1,0,0,0,1,0,476,140,44,77,18,699,855,54,0,0
26575,23,0,2,1,0,1,3,1,2,0,1022,123,9,99,13,746,858,55,5,0
26576,1,0,0,0,0,0,1,0,0,0,276,0,0,0,0,699,844,65,0,0
26581,6,0,0,0,0,0,0,0,0,1,1008,341,211,111,18,620,686,6,0,0
26582,80,0,3,5,7,2,3,1,0,1,5313,177,63,97,16,681,808,50,0,0
26585,2,0,0,0,0,0,0,0,0,0,469,172,0,119,53,773,831,78,0,1
26586,1,0,0,1,0,0,0,0,0,0,68,0,0,0,0,470,470,0,0,0
26587,3,0,0,1,0,0,0,0,0,0,347,77,40,37,0,737,737,23,0,0
26588,20,0,0,4,2,0,0,0,0,2,2926,173,55,106,11,691,839,63,2,0
26590,6,1,0,1,0,1,0,0,0,0,840,67,0,67,0,580,823,63,0,0
26591,18,0,1,4,1,2,1,0,0,0,1493,157,76,73,7,767,796,46,0,0
26601,127,0,12,15,10,4,9,6,5,4,4561,240,68,160,12,706,820,51,8,1
26610,13,3,0,0,0,0,4,0,1,2,939,136,53,83,0,649,776,0,0,0
26611,3,0,0,2,0,0,0,0,1,0,110,436,0,181,254,909,1000,0,0,0
26615,2,1,0,0,0,0,0,0,0,0,422,163,52,56,54,831,831,109,0,0
26619,2,0,0,0,0,0,1,0,0,0,514,124,0,71,52,686,721,145,0,1
26621,15,0,0,1,0,1,2,0,1,1,888,351,135,213,2,595,777,24,0,0
26623,6,0,0,2,0,0,0,0,0,2,1391,218,88,115,14,636,767,25,0,0
26624,80,0,0,4,9,4,12,1,3,2,2758,201,46,121,34,753,823,43,0,0
26627,4,0,0,0,0,2,1,0,0,1,338,159,0,159,0,828,881,76,0,0
26629,3,0,0,1,0,1,0,0,0,0,362,49,0,0,49,643,784,0,0,0
26636,3,1,0,0,0,0,0,0,0,0,464,400,185,185,30,734,762,0,0,0
26651,337,5,14,25,42,8,48,18,13,16,9885,173,36,120,16,724,854,63,7,0
26656,5,0,0,0,0,1,0,0,0,0,350,240,71,168,0,794,817,20,0,1
26660,6,0,0,2,0,0,0,0,0,1,281,0,0,0,0,871,893,0,0,0
26662,10,1,0,1,0,0,3,0,0,2,1323,53,0,12,40,677,876,48,0,1
26676,6,0,0,1,0,0,1,0,0,1,568,52,19,33,0,811,913,66,0,0
26678,15,0,0,5,1,1,3,0,1,1,1499,326,69,249,8,659,775,30,0,0
26679,35,1,0,9,3,1,1,0,0,1,1774,127,32,89,5,686,770,62,0,0
26680,1,0,0,0,0,0,0,0,0,0,209,196,0,148,47,942,1000,81,0,1
26681,27,6,0,1,2,1,0,0,2,5,1463,98,0,51,46,810,906,0,0,0
26684,4,0,0,3,0,0,0,0,0,0,85,870,541,329,0,458,458,0,0,0
26690,2,0,0,1,0,0,0,0,0,0,509,231,62,168,0,687,791,49,0,0
26691,1,1,0,0,0,0,0,0,0,0,434,129,0,85,43,739,847,18,0,0
26704,48,2,1,11,1,1,4,2,1,4,5773,200,57,112,30,681,754,87,5,0
26705,22,2,0,6,0,0,1,0,1,4,1029,60,27,33,0,742,795,51,0,0
26707,3,0,0,1,1,0,1,0,0,0,461,119,34,65,19,707,772,73,13,0
26710,15,0,1,4,1,1,0,0,0,2,2106,190,28,122,40,764,846,45,0,1
26711,34,0,0,9,1,2,7,0,1,0,1969,106,5,53,47,754,816,90,0,0
26714,2,0,0,1,1,0,0,0,0,0,433,364,0,364,0,969,1000,27,0,1
26716,10,2,0,1,1,0,0,0,0,2,876,74,22,22,28,731,800,10,0,0
26717,9,0,0,0,2,0,0,0,2,2,1284,119,17,73,28,767,855,30,0,1
26719,48,0,0,7,7,1,7,0,1,2,2301,105,9,67,27,772,851,71,0,0
26720,4,0,0,0,0,0,1,0,0,0,101,801,613,188,0,386,386,0,0,0
26722,3,0,0,0,0,1,0,0,0,0,889,268,154,80,33,652,728,71,0,0
26726,276,3,12,24,48,11,34,11,4,6,12653,215,74,113,27,701,811,75,1,0
26731,1,0,0,1,0,0,0,0,0,0,167,0,0,0,0,808,808,71,0,0
26739,17,0,0,4,0,1,1,1,0,1,703,216,85,116,14,815,891,44,0,0
26743,16,2,0,6,0,0,1,0,1,1,1788,76,0,65,10,644,807,38,5,0
26750,10,0,0,1,1,0,1,0,0,1,863,337,106,203,26,745,822,62,15,1
26753,73,0,0,13,6,1,5,1,6,1,6494,154,51,76,26,697,790,47,0,0
26755,6,0,0,2,0,0,1,0,1,1,1174,127,45,72,9,665,690,143,0,1
26757,166,0,7,10,29,5,25,8,3,5,6338,248,79,139,29,696,825,82,1,0
26761,3,0,0,1,0,0,0,0,0,0,508,492,53,307,131,856,897,173,76,0
26763,20,0,0,8,1,1,2,0,0,2,1522,157,0,111,46,716,775,103,4,0
26764,63,0,1,13,7,4,6,2,1,3,3874,190,50,122,16,737,840,40,0,0
26767,13,0,0,2,0,0,2,0,0,2,376,436,79,257,98,843,968,93,0,0
26801,24,0,0,4,3,2,5,0,0,2,1118,170,46,80,43,748,831,21,0,0
26802,7,0,0,1,1,0,0,0,0,0,1298,198,53,97,47,708,818,96,25,0
26804,7,0,0,2,0,0,0,0,0,1,772,203,19,112,71,708,851,47,0,0
26807,77,0,3,7,14,2,8,1,3,1,2726,165,41,98,25,735,823,39,4,0
26808,12,0,0,1,2,0,1,0,0,0,678,144,56,53,35,808,890,106,0,0
26810,10,0,1,3,0,1,0,0,0,0,488,61,45,16,0,938,954,221,0,0
26812,15,0,1,2,1,0,2,0,0,5,1351,65,20,28,16,851,917,62,0,0
26814,13,0,2,1,1,2,1,0,1,2,315,314,73,146,95,879,904,28,0,0
26815,8,0,0,4,0,0,1,1,0,1,704,244,71,126,46,794,848,69,0,1
26817,5,0,0,3,0,1,0,0,0,0,411,51,0,34,17,751,793,177,0,0
26818,3,0,1,0,0,0,1,0,0,1,885,176,94,66,14,484,615,57,0,0
26823,1,0,0,0,0,0,0,0,0,0,378,34,0,0,34,732,1000,232,0,0
26833,18,2,0,8,0,0,1,0,0,2,2244,198,64,98,35,727,842,50,0,1
26836,166,1,7,10,25,7,23,7,5,3,6527,198,63,116,19,697,803,92,15,1
26845,6,0,0,3,0,0,0,0,0,0,561,122,35,87,0,837,873,57,0,1
26847,184,5,5,21,26,6,18,4,2,9,6736,183,54,111,18,705,797,44,2,0
26851,32,0,0,3,5,1,2,1,0,0,2450,96,6,73,15,720,819,73,14,1
26852,2,0,0,1,0,0,0,0,0,0,795,193,60,103,30,729,816,60,0,0
26855,8,0,0,4,0,0,0,0,0,0,617,79,0,30,48,769,800,51,0,0
26865,5,0,1,1,0,0,1,0,0,0,159,213,0,213,0,1000,1000,163,0,1
26866,7,0,0,2,2,0,0,0,0,1,910,107,47,37,23,760,812,100,6,0
26884,14,0,2,2,0,0,0,1,1,4,618,336,59,239,37,736,881,38,0,0
27006,288,1,11,42,20,7,55,13,20,11,14016,78,16,49,12,728,811,43,0,0
27007,18,1,0,2,0,1,2,1,0,2,2224,99,31,42,25,660,788,58,0,0
27009,37,1,1,10,5,1,4,1,2,1,2677,32,0,7,25,752,803,48,0,0
27011,63,0,3,6,5,4,2,2,5,4,5379,143,39,88,14,710,812,47,0,0
27012,617,2,31,67,57,16,115,19,29,7,25523,53,14,35,2,697,792,42,1,0
27013,99,1,0,11,8,12,6,2,7,11,7039,157,54,89,12,669,779,47,0,0
27014,16,0,1,0,1,0,0,0,1,1,662,276,113,132,30,685,814,36,7,1
27016,39,1,1,7,3,2,5,1,1,0,1650,100,9,70,20,745,822,57,0,0
27017,165,1,6,15,17,10,22,2,3,15,8826,287,88,166,32,673,808,55,2,0
27018,84,0,6,17,2,5,5,1,4,0,7778,169,61,82,25,693,810,64,1,1
27019,33,0,1,12,1,0,2,1,0,3,4038,105,9,81,14,783,874,69,0,0
27020,54,1,0,11,1,6,3,2,3,3,6079,181,49,95,37,717,823,28,3,1
27021,309,0,12,39,31,15,39,15,8,8,17166,150,50,83,16,702,803,40,1,0
27022,23,1,1,4,1,1,2,1,1,1,1971,136,53,51,30,731,858,13,0,0
27023,206,0,8,25,18,3,50,4,12,4,11913,46,17,26,1,718,792,42,1,0
27024,19,2,1,2,0,0,1,0,3,3,2598,213,60,118,33,728,856,39,0,1
27025,219,0,3,12,12,14,42,3,10,2,11253,126,44,68,13,736,828,48,2,1
27027,89,0,4,11,8,6,7,6,2,2,4617,216,72,106,36,659,787,32,0,0
27028,491,2,11,67,39,33,57,19,26,15,25843,180,71,93,15,685,796,59,4,0
27030,897,4,27,105,82,55,89,39,43,39,37564,201,58,116,26,697,805,44,1,1
27040,139,0,8,27,8,7,22,4,7,5,11060,98,38,53,6,693,816,45,0,1
27041,175,1,9,20,10,11,25,7,9,4,8490,205,70,121,13,694,781,53,3,0
27042,8,0,1,3,0,1,2,0,1,0,596,77,0,20,57,825,867,21,0,0
27043,46,0,2,10,4,1,5,0,0,1,6533,126,45,67,14,695,793,40,0,0
27045,177,0,6,29,6,20,14,2,17,7,8882,126,43,68,14,703,806,65,0,0
27046,28,3,0,4,0,1,2,0,2,3,2225,276,60,177,38,783,841,53,0,0
27047,5,0,0,3,0,0,0,0,0,1,816,285,154,61,69,713,780,41,0,1
27048,97,3,2,18,2,13,9,0,7,6,8611,186,59,109,16,714,811,52,0,0
27050,44,0,0,15,2,1,8,1,2,3,4323,108,24,76,6,664,854,34,3,1
27051,110,0,2,10,3,2,15,3,1,5,8161,163,84,74,5,688,796,55,1,1
27052,150,0,5,20,10,5,15,3,2,6,9750,207,63,111,32,729,820,43,0,0
27053,15,0,0,2,2,1,1,0,1,2,2930,253,72,126,54,731,813,29,0,0
27054,28,0,0,3,1,6,0,1,2,3,1756,276,62,197,17,738,876,82,0,0
27055,290,1,11,26,35,21,45,3,12,3,13819,250,107,114,28,686,789,59,3,0
27101,980,0,45,37,79,31,285,60,66,10,16346,364,95,234,33,702,831,119,5,0
27103,1816,1,29,78,322,49,368,75,75,8,36186,233,89,136,7,668,784,117,1,0
27104,585,2,18,37,47,18,158,43,20,5,28122,101,30,66,5,703,805,120,4,0
27105,690,0,20,57,45,28,61,34,52,31,40930,318,140,160,17,607,736,57,3,0
27106,883,0,26,69,97,15,197,51,31,13,44584,194,48,138,7,664,800,73,1,0
27107,549,0,21,73,27,52,55,16,43,17,47043,259,112,135,11,634,748,54,3,0
27127,514,1,9,53,36,21,53,23,19,16,35307,161,58,94,8,678,778,86,2,0
27201,14,0,0,3,3,2,0,0,0,0,63,79,0,0,79,714,968,47,0,0
27203,895,2,24,51,142,63,137,38,32,8,21188,274,115,145,13,620,733,63,3,0
27205,311,1,14,48,13,35,30,5,12,10,32839,157,59,80,18,686,789,46,0,0
27207,44,2,0,10,0,3,3,1,2,4,3507,144,27,93,23,786,881,60,14,0
27208,15,0,0,2,0,3,1,0,0,2,1757,240,70,151,18,724,808,67,0,0
27209,87,1,1,7,7,10,7,1,4,1,3444,271,114,143,13,601,720,39,3,1
27212,15,0,1,4,1,2,0,0,0,1,1194,257,113,80,62,750,793,10,0,0
27214,118,0,4,27,6,14,12,4,11,5,12337,137,58,75,3,615,738,39,0,1
27215,1480,2,41,99,200,78,217,56,72,21,40024,170,68,86,15,706,806,75,2,0
27217,436,1,6,53,60,33,26,17,21,19,34728,245,92,132,20,667,791,53,3,0
27229,49,2,1,4,5,3,2,0,4,3,3703,353,130,192,30,645,732,27,0,0
27231,19,1,0,7,1,0,3,0,0,0,1709,290,104,163,23,751,829,56,1,0
27233,40,0,0,7,3,1,4,1,2,3,2974,55,0,55,0,777,860,20,0,0
27235,109,0,4,17,4,14,8,0,16,5,4180,44,12,16,14,723,801,28,0,0
27239,137,6,6,11,10,18,13,3,15,1,8567,178,61,99,16,703,800,55,1,1
27242,20,1,0,4,0,3,1,0,1,1,1832,197,62,115,19,654,836,46,0,1
27243,59,0,0,13,3,2,11,0,3,2,4236,68,25,42,0,699,795,90,0,0
27244,143,1,5,21,13,8,21,2,8,2,11056,162,22,125,14,625,819,45,1,0
27248,48,0,0,5,3,10,2,1,3,3,4929,133,21,103,8,662,791,69,3,1
27249,152,2,6,21,7,13,18,6,7,5,12633,122,28,75,18,711,808,64,0,0
27252,37,0,0,6,2,5,3,1,2,2,2589,262,74,148,39,754,816,40,0,0
27253,457,2,12,52,33,33,80,18,25,9,28738,200,80,101,19,683,769,59,3,0
27258,90,0,1,10,3,9,4,5,7,0,6723,173,77,85,10,666,772,77,1,0
