FMID,Name,Website ,Address,City,State,ZIP,EBT/Snaps,Fresh Produce,Type,Day of Week ,Month ,Time of Day ,Tags,Comments,Lat,Long
,Mattie Freeland Community Garden,http://newlifecovenantchurch.org/garden/,Echo Street,Atlanta,GA,30318,,,Garden,,,,,,33.772045,-84.41053
,Cosby Spear Memorial Tower Community Garden,,355 North Avenue,Atlanta,GA,30354,,,Garden,,,,,,33.6665059,-84.3986955
,Collier Heights Park Community Garden,http://collierpark.us/,Collier Drive NW,Atlanta,GA,30318,,,Garden,,,,,,33.7637336,-84.4833886
,Kirkwood Urban Forest and Community Garden,https://communitygarden.org/find-a-garden/gardens/kirkwood-urban-forest-and-community-garden/,Dixie Street SE,Atlanta,GA,30317,,,Garden,,,,,,33.7491187,-84.3284634
,East Lake Urban Farm,https://www.facebook.com/EastLakeUrbanFarm,2nd Avenue,Atlanta,GA,30030,,,Farm,,,,,,33.7549933,-84.31035
,Four Corners Park Community Garden,https://www.shorewood-hills.org/gardens,Hank Aaron Drive SW,Atlanta,GA,30315,,,Garden,,,,,,33.734295,-84.38788
,Gilliam Park Community Garden,http://gilliamsgardens.wixsite.com/farm,Wade Avenue,Atlanta,GA,30317,,,Garden,,,,,,33.7550035,-84.329738
,Brightside at Oakleaf Mennonite Farm,https://www.facebook.com/Brightside-Farm-131793653670186/,Bouldercrest Drive,Atlanta,GA,30316,,,Farm,,,,,,33.7211007,-84.3313604
,Atlanta Tapestry Community Garden,https://communitygarden.org/find-a-garden/gardens/tapestry-community-garden/,E. Confederate Avenue,Atlanta,GA,30316,,,Garden,,,,,,33.72659,-84.357085
,Truly Living Well - Harbin Road,https://www.trulylivingwell.com/,Harbin Road,Atlanta,GA,30311,,,Farm,,,,,,33.7040247,-84.4807795
,Outdoor Activity Center,https://www.facebook.com/OutdoorActivityCenter/,Richarland Road SW,Atlanta,GA,30310,,,Garden,,,,,,33.7306886,-84.42451
,Good Shepherd Community Garden,https://www.goodshepherdhartford.org/community-garden.html,445 Lawton Street,Atlanta,GA,30310,,,Garden,,,,,,33.7426,-84.42395
,Rose Circle Park Community Garden,https://www.facebook.com/RoseCircleCommunityGarden,Joseph E. Lowery Blvd,Atlanta,GA,30318,,,Garden,,,,,,33.778125,-84.417325
,Westview Community Garden,http://www.westviewatlanta.com/community-organization/community-garden/,S. Gordon Street SW,Atlanta,GA,30310,,,Garden,,,,,,33.7397742,-84.4381166
,Wesley International Academy,http://www.wesleyacademy.org/,Connally Street SE,Atlanta,GA,30312,,,Orchard,,,,,,33.74714,-84.381485
,Truly Living Well - Wheat Street,https://www.trulylivingwell.com/,Hilliard Street,Atlanta,GA,30312,,,Farm,,,,,,33.761045,-84.3765
,Villages at Carver - YMCA Boys and Girls Club,https://www.ymcaatlanta.org/ymca-locations/carver/,Pryor Road,Atlanta,GA,30315,,,Garden,,,,,,33.691705,-84.39915
,Sullivan Center Community Garden,https://communitygarden.org/find-a-garden/gardens/the-sullivan-center-community-garden/,Dill Avenue SW,Atlanta,GA,30310,,,Garden,,,,,,33.71829,-84.416475
,Piedmont Park Urban Orchard,https://www.piedmontpark.org/,Monroe Drive,Atlanta,GA,30337,,,Orchard,,,,,,33.66099,-84.43598
,Mulberry Fields Community Garden,https://www.facebook.com/mulberryfields,Candler Street,Atlanta,GA,30307,,,Garden,,,,,,33.76389,-84.345545
,Mays High School Orchard,https://www.atlantapublicschools.us/mays,Benjamin E. Mays Drive,Atlanta,GA,30311,,,Orchard,,,,,,33.7257299,-84.4711402
,Lang Carson Park Community Garden (R-Town Community Garden),https://www.facebook.com/langcarsonparkcommunitygarden/,Flat Shoals Avenue,Atlanta,GA,30316,,,Orchard,,,,,,33.7478881,-84.350956
,Lang Carson Park Community Garden (R-Town Community Garden),https://www.facebook.com/langcarsonparkcommunitygarden/,Flat Shoals Avenue,Atlanta,GA,30316,,,Garden,,,,,,33.7478881,-84.350956
,KIPP Strive Academy Urban Orchard,https://www.kippmetroatlanta.org/kipp-strive-academy/,Lucile Avenue SW,Atlanta,GA,30310,,,Orchard,,,,,,33.7410924,-84.419634
,Harnett/ Oakland City Community Garden,https://www.facebook.com/OCCOGardenatl,Bridges Avenue,Atlanta,GA,30310,,,Garden,,,,,,33.72656,-84.43417
,Rosa Burney - HABESHA,,Fulton Street SW,Atlanta,GA,30312,,,Garden,,,,,,33.740565,-84.405155
,Grady High School Orchard,https://www.atlantapublicschools.us/Page/14412,Monroe Drive,Atlanta,GA,30337,,,Orchard,,,,,,33.66099,-84.43598
,Garden Hills Elementary School Orchard,http://www.gardenhillselementary.org/,Delmont Drive,Atlanta,GA,30305,,,Orchard,,,,,,33.8335543,-84.3830872
,Education Garden at Piedmont Park,https://www.piedmontpark.org/garden/,Monroe Drive,Atlanta,GA,30337,,,Garden,,,,,,33.66099,-84.43598
,Drew Charter School Orchard,http://www.drewcharterschool.org/,E Lake Blvd SE,Atlanta,GA,30317,,,Orchard,,,,,,33.7406047,-84.3136219
,Crim High School Orchard,https://www.atlantapublicschools.us/crim,Memorial Drive SE,Atlanta,GA,30317,,,Orchard,,,,,,33.747265,-84.3088
,Crawford Long Middle School Orchard,https://www.atlantapublicschools.us/Page/5729,Latona Drive,Atlanta,GA,30354,,,Orchard,,,,,,33.6697458,-84.3956589
,Burgess Peterson Academy Orchard,https://www.atlantapublicschools.us/Domain/1407,Glenwood Avenue,Atlanta,GA,30316,,,Garden,,,,,,33.7403842,-84.3518458
,Burgess Peterson Academy Orchard,,Glenwood Avenue,Atlanta,GA,30316,,,Orchard,,,,,,33.7403842,-84.3518458
,Boulevard Heights Community Garden,https://sites.google.com/site/boulevardheightscommunity/about/community-garden,Schuyler Avenue SE,Atlanta,GA,30312,,,Garden,,,,,,33.72466,-84.36822
,Atlanta Fire Station #29 Orchard,https://www.firedepartment.net/directory/georgia/fulton-county/atlanta/city-of-atlanta-fire-rescue-department-station-29,Monroe Drive,Atlanta,GA,30337,,,Orchard,,,,,,33.66099,-84.43598
,Atlanta Fire Station #27 Orchard,https://www.firedepartment.net/directory/georgia/fulton-county/atlanta/city-of-atlanta-fire-rescue-department-station-27,Northside Drive NW,Atlanta,GA,30318,,,Orchard,,,,,,33.774,-84.40873
,Atlanta Fire Station #25 Orchard,https://www.firedepartment.net/directory/georgia/fulton-county/atlanta/city-of-atlanta-fire-rescue-department-station-25,Benjamin E. Mays Drive,Atlanta,GA,30311,,,Orchard,,,,,,33.7257299,-84.4711402
,Atlanta Fire Station #13 Orchard,https://www.firedepartment.net/directory/georgia/fulton-county/atlanta/fulton-county-fire-and-rescue-department-station-13,Metropolitan Avenue SE,Atlanta,GA,30316,,,Orchard,,,,,,33.74143,-84.34896
,Atlanta Fire Station #10 Orchard,https://www.firedepartment.net/directory/georgia/fulton-county/atlanta/city-of-atlanta-fire-rescue-department-station-10,Boulevard SE,Atlanta,GA,30312,,,Orchard,,,,,,33.7532345,-84.3718778
,Atlanta Charter Middle School,https://atlncs.org/,Essie Avenue SE,Atlanta,GA,30316,,,Orchard,,,,,,33.73218,-84.355395
,Atlanta Botanical Gardens,https://atlantabg.org/,Piedmont Avenue,Atlanta,GA,30309,,,Garden,,,,,,33.788605,-84.37705
,7th Day Adventist Community Garden (Berean Academy),http://www.bereanjracademy.org/about-us/,Hamilton E Holmes Dr NW,Atlanta,GA,30318,,,Garden,,,,,,33.7624702,-84.4698586
,Atlanta Mission Urban Garden,https://atlantamission.org/,Ivan Allen Jr Blvd NW,Atlanta,GA,30313,,,Garden,,,,,,33.764655,-84.391535
,Buckhead Men's Garden Club,https://patch.com/georgia/buckhead/buckhead-mens-garden-club,W Paces Ferry,Atlanta,GA,,,,Garden,,,,,,33.7483101,-84.3911133
,Poncey Highland Community Garden (Freedom Park),https://communitygarden.org/find-a-garden/gardens/poncey-highland-community-garden/,Freedom Parkway,Atlanta,GA,30306,,,Garden,,,,,,33.7723721,-84.3598311
,Grove Park Community Garden,https://parkpride.org/grove-park-community-garden-matters/,Hortense Place,Atlanta,GA,30318,,,Garden,,,,,,33.7742674,-84.4406169
,Selena S. Butler Community Garden,,Wm Holmes Borders Sr. Drive SE,Atlanta,GA,30312,,,Garden,,,,,,33.7514155,-84.3750326
,West End - Mother Clyde Community Garden,https://communitygarden.org/find-a-garden/gardens/mother-clyde-memorial-west-end-garden-a-redeem-project/,Oak Street,Atlanta,GA,30354,,,Garden,,,,,,33.65297,-84.408975
,Northside Shepherd Senior Center/ Vivian T. Minor Adult Daycare Community Garden,,1705 Commerce Drive,Atlanta,GA,30318,,,Garden,,,,,,33.80075,-84.4105
,South Bend Park Community Garden,,Compton Drive,Atlanta,GA,30315,,,Garden,,,,,,33.7008229,-84.3826647
,Community Life at Brookside Park Apartments,http://www.brooksideparkatlanta.com/,2000 Rambling Drive SW,Atlanta,GA,30315,,,Garden,,,,,,33.7012403,-84.4052053
,Druid Hill United Methodist Church,http://www.druidhillsocala.org/,1200 Ponce de Leon Avenue NE,Atlanta,GA,30306,,,Garden,,,,,,33.7738779,-84.3487931
,Parkview Community Garden at DeKalb Memorial Park,https://www.facebook.com/parkviewcommunitygarden,Wilkinson Drive,Atlanta,GA,30317,,,Garden,,,,,,33.7429083,-84.3281524
,Super Giant Food Urban Health Initiative Community Garden,http://urbanhealthinitiative.emory.edu/,2176 Donald Lee Hollowell NW,Atlanta,GA,30318,,,Garden,,,,,,33.77532,-84.4575
,Mary Lin Elementary School,http://www.marylinelementary.com/,586 Candler Park Drive NE,Atlanta,GA,30307,,,Garden,,,,,,33.7703,-84.34039
,Atlanta Harm Reduction Coalition,http://www.atlantaharmreduction.org/home.aspx,472 Paines Avenue NW,Atlanta,GA,30318,,,Garden,,,,,,33.76756,-84.41479
,Marian Road Senior High Rise,,760 Sidney Marcus Blvd NW,Atlanta,GA,30324,,,Garden,,,,,,33.82647,-84.36263
,Loring Heights Community Garden,https://www.loringheightsliving.com/Home.aspx,426 Deering Road,Atlanta,GA,30309,,,Garden,,,,,,33.79576,-84.4019
,QLS Haven & Garden Apartments,,1840 & 1870 Campbellton Road,Atlanta,GA,30311,,,Garden,,,,,,33.70741,-84.44848
,Georgia Citizens Coalition on Hunger,https://gacitizenshungercoalition.wordpress.com/,9 Gammon Avenue,Atlanta,GA,30315,,,Garden,,,,,,33.7181012,-84.3867675
,Holy Comforter Episcopal Church,https://www.holycomfortercharlotte.org/,737 Woodland Avenue SE,Atlanta,GA,30316,,,Garden,,,,,,33.73415,-84.3518
,First Existentialist Church,https://firstexistentialist.org/,470 Candler Park Drive,Atlanta,GA,30307,,,Garden,,,,,,33.76708,-84.33979
,English Avenue Urban Farm,http://foea.org/projects/garden/,North Avenue and Joseph E. Lowery Blvd,Atlanta,GA,30318,,,Farm,,,,,,33.77004,-84.41731
,Edgewood Community Learning Garden,http://wyldecenter.org/edgewood-community-learning-garden/,Hardee Street and Mayson Avenue,Atlanta,GA,30307,,,Garden,,,,,,33.75541,-84.33866
,Edgewood Court Residential Association,,1572 Hardee Street,Atlanta,GA,30307,,,Garden,,,,,,33.7554371,-84.3361536
,Dog Head Farm,https://www.concrete-jungle.org/programs/doghead-farm/,Birch Street SW,Atlanta,GA,30310,,,Farm,,,,,,33.70546,-84.426595
,Covenant House,,1559 Johnson Road NW,Atlanta,GA,30318,,,Garden,,,,,,33.78831,-84.43811
,Auburn Neighborhood Senior Center,,300 Edgewood Avenue SE,Atlanta,GA,30312,,,Garden,,,,,,33.75475,-84.37755
,Emmaus House,,1017 Hank Aaron Drive SE,Atlanta,GA,30315,,,Garden,,,,,,33.7268017,-84.388069
,Historic Westside Gardens,,"Joseph E Boone, Elm Street and Sunset Avenue",Atlanta,GA,,,,Farm,,,,,,33.7483101,-84.3911133
,GLEN Project,,Vine Street and Delbridge Street,Atlanta,GA,30314,,,Garden,,,,,,33.75753,-84.40781
,Grant Park Community Garden,,Grant Street SE,Atlanta,GA,30315,,,Garden,,,,,,33.725115,-84.37672
,Omenala Griot - HABESHA,,337 Dargan Place SW,Atlanta,GA,30310,,,Garden,,,,,,33.74583,-84.4246
,Ashview Urban Farm,,Holderness Street SW,Atlanta,GA,30310,,,Farm,,,,,,33.7462139,-84.4269505
,Darnell Center,,Fairburn Road,Atlanta,GA,30331,,,Garden,,,,,,33.7057076,-84.5065625
,Villages at Carver Community Garden,,Pryor Road,Atlanta,GA,30315,,,Garden,,,,,,33.691705,-84.39915
,Hunter Hills Community Garden,,Troy and Boone,Atlanta,GA,,,,Garden,,,,,,33.7483101,-84.3911133
,Good Samaritan Health Center,,Donald Lee Hollowell Pkwy,Atlanta,GA,30318,,,Garden,,,,,,33.772695,-84.4268
,Hawk Hollow Garden,,2304 1st Avenue,Atlanta,GA,30317,,,Garden,,,,,,33.75507,-84.311723
,East Atlanta Village Learning Garden,,Stokeswood Avenue,Atlanta,GA,30316,,,Garden,,,,,,33.7276306,-84.34468
,Georgia Avenue Senior Tower,,174 Georgia Avenue,Atlanta,GA,30354,,,Garden,,,,,,33.654895,-84.409735
,Open Hand Garden,,181 Armour Drive NE,Atlanta,GA,30324,,,Garden,,,,,,33.80911,-84.38273
,Inman Middle School,,774 Virginia Ave NE,Atlanta,GA,30306,,,Garden,,,,,,33.78231,-84.36277
,Morningside Community Garden,,Hillpine Drive at the Georgia Power lines,Atlanta,GA,,,,Garden,,,,,,33.7483101,-84.3911133
,Wonderoot Community Garden,,982 Memorial Drive,Atlanta,GA,30316,,,Garden,,,,,,33.74682,-84.35515
,West End Community Garden Nursery,,1285 Ralph David Abernathy Blvd SW,Atlanta,GA,30310,,,Garden,,,,,,33.73932,-84.42986
,3x3 Project,,307 Walker Street SW,Atlanta,GA,30313,,,Garden,,,,,,33.7466,-84.40373
,Ashby Circle Playlot,,Ashby Circle NW,Atlanta,GA,30314,,,Orchard,,,,,,33.76184,-84.418825
,Maynard H. Jackson High School,,801 Glenwood Avenue SE,Atlanta,GA,30316,,,Orchard,,,,,,33.7405109,-84.3619136
,Operation PEACE,,420 Boulevard,Atlanta,GA,30308,,,Orchard,,,,,,33.76586,-84.37235
,Fresh Roots Farm,,1260 Foster Street,Atlanta,GA,30318,,,Farm,,,,,,33.7873895,-84.4139301
,Paideia School,,,Atlanta,GA,30307,,,Garden,,,,,,33.759861,-84.3557587
,Big Bethel Village,,500 Richard Allen Blvd SW,Atlanta,GA,30331,,,Garden,,,,,,33.7410455,-84.5115299
,Thomasville Center of Hope Boys and Girls Club,,1835 Henry Thomas Drive SE,Atlanta,GA,30315,,,Garden,,,,,,33.704004,-84.358105
,Elm Street Urban Farm,,380 Elm Street NW,Atlanta,GA,30314,,,Garden,,,,,,33.76498,-84.40913
,Atlanta Neighborhood Charter School Farm,,688 Grant Street,Atlanta,GA,30315,,,Garden,,,,,,33.7357763,-84.3764128
,St. Nicholas Orthox Academy Garden,,543 Cherokee Ave SE,Atlanta,GA,30312,,,Garden,,,,,,33.73985,-84.373961
,Back to Eden,,291 Hamilton E Holmes Dr NW,Atlanta,GA,30318,,,Garden,,,,,,33.76302,-84.46919
,Pittman Park/Brother Moore Garden,,950 Garibaldi St SW,Atlanta,GA,30310,,,Garden,,,,,,33.7290013,-84.3991407
,Gilliam's Garden,,Oakland Terrace,Atlanta,GA,30310,,,Garden,,,,,,33.721105,-84.42908
,Coan Edible School Yard,,Hardee Street,Atlanta,GA,30307,,,Garden,,,,,,33.7553985,-84.3379799
,HABESHA,,477 Windsor Street SW,Atlanta,GA,30312,,,Orchard,,,,,,33.7414069,-84.398294
,Welch Street Community Garden,,975 Welch Street,Atlanta,GA,30310,,,Orchard,,,,,,33.72828,-84.40506
,Outdoor Activity Center,,1442 Richland Road,Atlanta,GA,30310,,,Orchard,,,,,,33.72916,-84.43472
,Wesley International Academy,,211 Memorial Drive,Atlanta,GA,30312,,,Orchard,,,,,,33.7468171,-84.3808657
,Gateway Park,,Brantley Street NE,Atlanta,GA,30307,,,Orchard,,,,,,33.7579279,-84.349571
,Northwest Youth Power Early Learning Center,,1225 Donald Lee Hollowell Parkway,Atlanta,GA,30318,,,Orchard,,,,,,33.772695,-84.4268541
,Omenala Griot African Teaching Museum,,337 Dargan Place,Atlanta,GA,30310,,,Orchard,,,,,,33.74583,-84.4246
,Kindezi School,,1890 Detroit Avenue,Atlanta,GA,30314,,,Orchard,,,,,,33.7669669,-84.448939
,Toomer Elementary School,,65 Rogers Street,Atlanta,GA,30317,,,Orchard,,,,,,33.75145,-84.32953
,Coan Middle School,,1503 Hardee Street,Atlanta,GA,30307,,,Orchard,,,,,,33.75522,-84.33839
,Dekalb Memorial Park,,353 Wilkinson Drive,Atlanta,GA,30317,,,Orchard,,,,,,33.74581,-84.32942
,East Atlanta Village Farmers Market,,561 Flat Shoals Avenue,Atlanta,GA,30316,,,Orchard,,,,,,33.7391785,-84.344236
,Brownwood Park,,602 Brownwood Avenue,Atlanta,GA,30316,,,Orchard,,,,,,33.7377937,-84.3479976
,Branan Towers,,1200 Glenwood Avenue,Atlanta,GA,30316,,,Orchard,,,,,,33.74052,-84.34814
,Patchworks City Farms,,765 Peeples Street,Atlanta,GA,30310,,,Orchard,,,,,,33.73422,-84.42201
,Brown Middle School Beltline Orchard,,Beecher Street & Peeples Street,Atlanta,GA,30310,,,Orchard,,,,,,33.73339,-84.42046
,Good Shepherd Agro Ecology Center,,445 Lawton Street,Atlanta,GA,30310,,,Orchard,,,,,,33.7426,-84.42395
,Erskine Fountain Community Orchards,,Cherokee Avenue & Orchard Street,Atlanta,GA,30315,,,Orchard,,,,,,33.730355,-84.37362
,Doghead Farm,,1117 Birch Street,Atlanta,GA,30310,,,Orchard,,,,,,33.70571,-84.42471
,Gilliam's Community Garden,,1286 Oakland Terrace,Atlanta,GA,30310,,,Orchard,,,,,,33.720314,-84.429295
,Providence Missionary Baptist Church,,2295 Benjamin E Mays Drive,Atlanta,GA,30311,,,Orchard,,,,,,33.72332,-84.46358
,Lake Claire Community Land Trust,,280 Arizona Avenue,Atlanta,GA,30307,,,Orchard,,,,,,33.76176,-84.33065
,Mary Lin Elementary School,,586 Candler Park Drive,Atlanta,GA,30307,,,Orchard,,,,,,33.7703,-84.34039
,Vine City Neighborhood Orchard,,292 Sunset Avenue,Atlanta,GA,30314,,,Orchard,,,,,,33.76255,-84.41029
,Washington Park,,102 Ollie Street,Atlanta,GA,30314,,,Orchard,,,,,,33.75789,-84.42298
,Tapestry Community Garden,,842 East Confederate Avenue,Atlanta,GA,30316,,,Orchard,,,,,,33.72738,-84.36062
,Choosewood Park Neighborhood Orchard,,1334 Grant Street,Atlanta,GA,30315,,,Orchard,,,,,,33.71817,-84.37659
,Truly Living Well,,75 Hilliard Street,Atlanta,GA,30312,,,Orchard,,,,,,33.7527286,-84.3766952
,Cosby Spear Memorial Tower,,355 North Avenue,Atlanta,GA,30308,,,Orchard,,,,,,33.7711634,-84.3763457
,Homegrown Restaurant,,Memorial Drive,Atlanta,GA,30317,,,Farm,,,,,,33.747365,-84.323095
,Blackshere Community Garden,,14 Meldon Avenue,Atlanta,GA,30315,,,Garden,,,,,,33.71114,-84.38255
,Cinnamon City Farms,,1490 Joseph E. Boone,Atlanta,GA,30314,,,Garden,,,,,,33.76335,-84.43666
,Farm Chastain,,4001 Powers Ferry Rd,Atlanta,GA,30342,,,Garden,,,,,,33.86683,-84.39011
,Howell Station Community Garden,,1150 Niles Ave NW,Atlanta,GA,30318,,,Garden,,,,,,33.78192,-84.42476
,John Harland Boys & Girls Club Garden,,434 Peeples St SW,Atlanta,GA,30310,,,Garden,,,,,,33.7430834,-84.4204517
,Jospeh B. Whitehead Boys & Girls Club,,1900 Lakewood Ave.,Atlanta,GA,30315,,,Garden,,,,,,33.703097,-84.3832812
,Mena's farm,,544 Elmwood Rd,Atlanta,GA,30318,,,Garden,,,,,,33.77016,-84.43916
,My Sisters Atlanta Union Mission House,,921 Howell Mill Rd,Atlanta,GA,30318,,,Garden,,,,,,33.78013,-84.41
,Pearl Academy Agriculture and Environmental Center,,1722 Harbin Road SW,Atlanta,GA,30311,,,Garden,,,,,,33.70834,-84.4808
,San Pedro Community Garden at Westview,,1540 Olympian Circle SW,Atlanta,GA,30310,,,Garden,,,,,,33.73537,-84.4383
,Seeds of Life Community Garden,,2820 Peachtree Road NW,Atlanta,GA,30305,,,Garden,,,,,,33.8321462,-84.3848434
,The Mustard Seed Garden at St. Luke's,,435 Peachtree Street NE,Atlanta,GA,30308,,,Garden,,,,,,33.76646,-84.38466
,The Veranda at Carver,,217 Thirkeld Ave,Atlanta,GA,30315,,,Garden,,,,,,33.71442,-84.39284
,Welcome House (Caring Works),,234 Memorial Drive,Atlanta,GA,30303,,,Garden,,,,,,33.74648,-84.39535
,Post Collier Hills Community Garden,,914 Collier Road NW,Atlanta,GA,30318,,,Garden,,,,,,33.80903,-84.41624
,Post Lindbergh Community Garden,,485 Lindbergh Place NE,Atlanta,GA,30324,,,Garden,,,,,,33.8200994,-84.3709612
,Post Peachtree Hills Community Garden,,350 Peachtree Hills Ave NE,Atlanta,GA,30305,,,Garden,,,,,,33.81954,-84.37577
,Post Renaissance Community Garden,,400 Central Park Place,Atlanta,GA,30308,,,Garden,,,,,,33.766278,-84.378782
,Post Stratford Community Garden,,3400 Stratford Road,Atlanta,GA,30326,,,Garden,,,,,,33.8487392,-84.3665162
,East Lake Community Learning Garden,,56 2nd Avenue Southeast,Atlanta,GA,30317,,,Garden,,,,,,33.750125,-84.309215
,Fire Station 1 Garden,,71 Elliott St SW,Atlanta,GA,30313,,,Garden,,,,,,33.7526716,-84.3981341
,Fire Station 10 Garden,,447 Boulevard SE,Atlanta,GA,30312,,,Garden,,,,,,33.7418438,-84.368203
,Fire Station 11 Garden,,165 16th St NW,Atlanta,GA,30363,,,Garden,,,,,,33.790135,-84.3930127
,Fire Station 12 Garden,,1288 DeKalb Ave NE,Atlanta,GA,30307,,,Garden,,,,,,33.7615,-84.34531
,Fire Station 13 Garden,,431 Flat Shoals Ave SE,Atlanta,GA,30316,,,Garden,,,,,,33.74199,-84.34774
,Fire Station 16 Garden,,1048 Joseph E Boone Blvd,Atlanta,GA,30314,,,Garden,,,,,,33.7631,-84.42192
,Fire Station 25 Garden,,2349 Benjamin E. Mays Dr SW,Atlanta,GA,30311,,,Garden,,,,,,33.7228916,-84.4654069
,Fire Station 27 Garden,,4260 Northside Dr NW,Atlanta,GA,30327,,,Garden,,,,,,33.87098,-84.40865
,Fire Station 28 Garden,,1925 Hollywood Dr NW,Atlanta,GA,30318,,,Garden,,,,,,33.7827784,-84.4544629
,Fire Station 29 Garden,,2167 Monroe Dr NE,Atlanta,GA,30324,,,Garden,,,,,,33.8106058,-84.3683257
,Fire Staion 34 Garden,,3671 Southside Industrial Pkwy,Atlanta,GA,30354,,,Garden,,,,,,33.6565653,-84.3742517
,Fire Station 38 Garden,,2911 Donald L. Hollowell Parkway NW,Atlanta,GA,30318,,,Garden,,,,,,33.7814678,-84.4832347
,Fire Station 5 Garden,,2825 Campbellton Rd SW,Atlanta,GA,30311,,,Garden,,,,,,33.7002008,-84.4807319
,Fire Station 8 Garden,,1711 Marietta Blvd NW,Atlanta,GA,30318,,,Garden,,,,,,33.8012998,-84.4357998
,,,Whitehall Terrace SW,Atlanta,GA,30312,,,AgLanta Grows-A-Lot Urban Garden ,,,,,"Vacant parcel off ""Ray's Alley"".",33.739645,-84.401395
,,,590 Whitehall Terrace SW,Atlanta,GA,30312,,,AgLanta Grows-A-Lot Urban Garden ,,,,,"Vacant parcel off ""Ray's Alley"".",33.73893,-84.40075
,,,251 Sunset Ave,Atlanta,GA,30314,,,AgLanta Grows-A-Lot Urban Garden ,,,,,Vacant; possible subdivision lot.  Ability to build on lot is questionable (narrows from 60 feet at front to 17 feet in the rear).,33.76141,-84.40963
,,,1227 Princess Ave,Atlanta,GA,30310,,,AgLanta Grows-A-Lot Urban Garden ,,,,,Vacant subdivision lot.   Limited title report shows property to still be in the name of the City.,33.72145,-84.42574
,,,1597 Campbellton Rd SW,Atlanta,GA,30311,,,AgLanta Grows-A-Lot Urban Garden ,,,,,Vacant subdivision lot.  Located at NE corner of Sarah M. Harden Dr. & Campbellton Rd.,33.7122908,-84.4406087
,,,1612 Glenview Dr,Atlanta,GA,30331,,,AgLanta Grows-A-Lot Urban Garden ,,,,,Access to site is limited through a residential subdivision.  Portion of property not in flood plain fronts on I-285.,33.7110417,-84.5022015
,,,790 E.Morningside Dr,Atlanta,GA,30324,,,AgLanta Grows-A-Lot Urban Garden ,,,,,Appears parcel is encumbered by a power line easement.  Title research may be needed. .,33.7985933,-84.3607463
,La Canasta Grocery Store,,178 Northwood Dr,Atlanta,GA,30342,,,Small Grocery,,,,,Mex Grocery Store ,33.91125,-84.38129
,Nuts 'N Berries,,4274 Peachtree Rd NE,Atlanta,GA,30319,,,Specialty Health Store,,,,,,33.85749,-84.348445
,Brito Supermarket,,3020 Buford Hwy NE,Atlanta,GA,30329,,,Small Grocery,,,,,Mex Grocery Store ,33.8368,-84.33718
,Merkato Market,,3300 Buford Hwy NE,Atlanta,GA,30329,,,Small Grocery,,,,,Mex Grocery Store ,33.84288,-84.32947
,Dinho Market of Atlanta,,5379 New Peachtree Rd,Atlanta,GA,30341,,,Small Grocery,,,,,Chinese Market,33.89038,-84.29969
,Oriental Food Mart Inc,,5091 Buford Hwy NE,Atlanta,GA,30340,,,Small Grocery,,,,,Thai no vegetables,33.8913166,-84.2850586
,The Kosher Gourmet,,2153 Briarcliff Rd NE,Atlanta,GA,30329,,,Small Grocery,,,,,"meats, prepared foods including sandwiches & salads",33.8167117,-84.335063
,Carniceria El Ejido,,3145 Main St,Atlanta,GA,30344,,,Small Grocery,,,,,Mex Grocery all ,33.66961,-84.44415
,Kroger,,1160 Moreland Ave SE,Atlanta,GA,30316,,,Traditional Grocery Store,,,,,,33.7226081,-84.3493915
,Walmart,,1105 Research Center,Atlanta,GA,30331,,,Supercenter,,,,,on city border ,33.72868,-84.50751
,GNT Foods ,,874 Cleveland Ave,Atlanta,GA,30344,,,Small Grocery,,,,,on city border ,33.6813008,-84.4173821
,Kroger,,3300 Cobb Pkwy SE #100,Atlanta,GA,30339,,,Traditional Grocery Store,,,,,on city border ,33.872232,-84.457747
,Publix West Paces Ferry ,,2451 Cumberland Pkwy SE,Atlanta,GA,30339,,,Traditional Grocery Store,,,,,on city border ,33.86298,-84.47841
,Publix Super Market at East Lake,,2235 Glenwood Ave SE,Atlanta,GA,30316,,,Traditional Grocery Store,,,,,On city border ,33.73883,-84.313272
,Kroger,,"1799 Briarcliff Rd, NE",Atlanta,GA,30306,,,Traditional Grocery Store,,,,,On city border ,33.8044,-84.3362
,Wayfield Foods Inc ,,2020 Headland Dr,Atlanta,GA,30344,,,Traditional Grocery Store,,,,,on city border ,33.6880806,-84.4542777
,Walmart,,844 Cleveland Ave,Atlanta,GA,30344,,,Traditional Grocery Store,,,,,on city border ,33.67868,-84.416799
,Publix Super Market at Shallowford Exchange,,2562 Shallowford Rd,Atlanta,GA,30345,,,Traditional Grocery Store,,,,,,33.8620255,-84.2869009
,Publix Supermarket,,3695 Cascade Rd,Atlanta,GA,30331,,,Traditional Grocery Store,,,,,,33.72453,-84.50832
,"Wayfield Foods, Inc",,3465 Main St,Atlanta,GA,30337,,,Traditional Grocery Store,,,,,,33.66094,-84.44779
,Target_DruidHills ,,2400 N Druid Hills Rd NE,Atlanta,GA,30329,,,Traditional Grocery Store,,,,,,33.8284,-84.325056
,Publix Super Market at Toco Hills Shopping Center,,2969 N Druid Hills Rd,Atlanta,GA,30329,,,Traditional Grocery Store,,,,,,33.8143401,-84.3093611
,Whole Foods Market,,2111 Briarcliff Rd NE,Atlanta,GA,30329,,,Traditional Grocery Store,,,,,,33.8150134,-84.3343456
